"data e hora","caso de teste","mensagem"
"2021/07/14 22:35:59.865","Consultar Curso Mantis","Iniciou o Teste"
"2021/07/14 22:36:04.968","Consultar Curso Mantis","Abriu o Site"
"2021/07/14 22:36:05.959","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"2021/07/14 22:36:06.003","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"2021/07/14 22:36:06.053","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"2021/07/14 22:36:08.854","Consultar Curso Mantis","Clicou no botão lupa"
"2021/07/14 22:36:08.891","Consultar Curso Mantis","Confirmou o texto indicativoda pesquisa do curso Mantis"
"2021/07/14 22:36:09.096","Consultar Curso Mantis","Clicou no botão Matricule-se"
"2021/07/14 22:36:11.274","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"2021/07/14 22:36:11.304","Consultar Curso Mantis","Confirmou o valor do curso Mantis"
"2021/07/14 22:36:11.529","Consultar Curso Mantis","Concluiu o teste"
